2018/5/28;226;396;67;527;658;21630;648;324.45
2018/5/29;226;396;67;527;658;86216;2496;1293.24
2018/5/30;226;396;67;527;658;126744;3502;1901.16
2018/5/31;226;396;67;527;658;132558;4576;1988.37
2018/6/1;226;396;67;527;658;142040;4268;2130.6
2018/6/2;226;396;67;527;658;142572;4578;2138.58
2018/6/3;226;396;67;527;658;140300;4510;2104.5
2018/6/4;226;396;67;527;658;167402;5052;2511.03
2018/6/5;226;396;67;527;658;156706;4672;2350.59
2018/6/6;226;396;67;527;658;148888;4316;2233.32
2018/6/7;226;396;67;527;658;129794;3744;1946.91
2018/6/8;226;396;67;527;658;123960;3838;1859.4
2018/6/9;226;396;67;527;658;148304;3250;2224.56
2018/6/10;226;396;67;527;658;131174;3636;1967.61
2018/6/11;226;396;67;527;658;121192;3336;1817.88
2018/6/12;226;396;67;527;658;76942;2278;1154.13
2018/6/13;226;396;67;527;658;115838;3176;1737.57
2018/6/14;226;396;67;527;658;91762;2902;1376.43
2018/6/15;226;396;67;527;658;92800;2844;1392
2018/6/16;226;396;67;527;658;92074;2774;1381.11
2018/6/17;226;396;67;527;658;112020;3060;1680.3
2018/6/18;226;396;67;527;658;108454;3104;1626.81
2018/6/19;226;396;67;527;658;98712;2752;1480.68
2018/6/20;226;396;67;527;658;119802;3504;1797.03
2018/6/21;226;396;67;527;658;106096;3092;1591.44
2018/6/22;226;396;67;527;658;98756;2782;1481.34
2018/6/23;226;396;67;527;658;75954;2398;1139.31
2018/6/24;226;396;67;527;658;116374;3432;1745.61
2018/6/25;226;396;67;527;658;96024;2850;1440.36
2018/6/26;226;396;67;527;658;82568;2448;1238.52
2018/6/27;226;396;67;527;658;129034;3572;1935.51
2018/6/28;226;396;67;527;658;124646;3770;1869.69
2018/6/29;226;396;67;527;658;108108;3214;1621.62
2018/6/30;226;396;67;527;658;46106;1324;691.59
2018/9/24;225;395;67;527;653;36622;1044;549.33
2018/9/25;225;395;67;527;653;30596;1058;458.94
2018/9/26;225;395;67;527;653;38566;934;578.49
2018/9/27;225;395;67;527;653;34538;850;518.07
2018/9/28;225;395;67;527;653;40532;692;607.98
2018/9/29;225;395;67;527;653;32532;904;487.98
2018/9/30;225;395;67;527;653;32530;890;487.95
2018/10/1;225;395;67;527;653;34928;664;523.92
2018/10/2;225;395;67;527;653;33118;730;496.77
2018/10/3;225;395;67;527;653;38512;842;577.68
2018/10/4;225;395;67;527;653;36706;702;550.59
2018/10/5;225;395;67;527;653;25904;974;388.56
2018/10/6;225;395;67;527;653;27296;928;409.44
2018/10/7;225;395;67;527;653;34490;704;517.35
2018/10/8;225;395;67;527;653;32682;704;490.23
2018/10/9;225;395;67;527;653;30476;722;457.14
2018/10/10;225;395;67;527;653;32268;814;484.02
2018/9/24;225;395;67;527;654;29666;706;444.99
2018/9/25;225;395;67;527;654;34466;820;516.99
2018/9/26;225;395;67;527;654;32666;1074;489.99
2018/9/27;225;395;67;527;654;36464;650;546.96
2018/9/28;225;395;67;527;654;34456;844;516.84
2018/9/29;225;395;67;527;654;39004;762;585.06
2018/9/30;225;395;67;527;654;30436;960;456.54
2018/10/1;225;395;67;527;654;24434;770;366.51
2018/10/2;225;395;67;527;654;31626;746;474.39
2018/10/3;225;395;67;527;654;25216;714;378.24
2018/10/4;225;395;67;527;654;42416;730;636.24
2018/10/5;225;395;67;527;654;37616;932;564.24
2018/10/6;225;395;67;527;654;38412;958;576.18
2018/10/7;225;395;67;527;654;30406;704;456.09
2018/10/8;225;395;67;527;654;58400;644;876.00
2018/10/9;225;395;67;527;654;27996;974;419.94
2018/10/10;225;395;67;527;654;28386;958;425.79
2018/9/24;225;395;67;527;655;32382;632;485.73
2018/9/25;225;395;67;527;655;34380;124;515.70
2018/9/26;225;395;67;527;655;30378;990;455.67
2018/9/27;225;395;67;527;655;28372;286;425.58
2018/9/28;225;395;67;527;655;36368;964;545.52
2018/9/29;225;395;67;527;655;27952;688;419.28
2018/9/30;225;395;67;527;655;29750;686;446.25
2018/10/1;225;395;67;527;655;34342;238;515.13
2018/10/2;225;395;67;527;655;43938;630;659.07
2018/10/3;225;395;67;527;655;34334;650;515.01
2018/10/4;225;395;67;527;655;30330;186;454.95
2018/10/5;225;395;67;527;655;28718;620;430.77
2018/10/6;225;395;67;527;655;28316;648;424.74
2018/10/7;225;395;67;527;655;32302;498;484.53
2018/10/8;225;395;67;527;655;35486;772;532.29
2018/10/9;225;395;67;527;655;32282;546;484.23
2018/10/10;225;395;67;527;655;34280;314;514.20
2018/9/24;221;388;67;531;610;46473;1120;557.67
2018/9/25;221;388;67;531;610;47466;1372;569.59
2018/9/26;221;388;67;531;610;43466;959;521.59
2018/9/27;221;388;67;531;610;46466;903;557.59
2018/9/28;221;388;67;531;610;45462;935;545.54
2018/9/29;221;388;67;531;610;47462;1029;569.54
2018/9/30;221;388;67;531;610;43459;1047;521.50
2018/10/1;221;388;67;531;610;47455;1239;569.46
2018/10/2;221;388;67;531;610;46843;945;562.12
2018/10/3;221;388;67;531;610;42455;956;509.46
2018/10/4;221;388;67;531;610;42838;1257;514.05
2018/10/5;221;388;67;531;610;47431;970;569.17
2018/10/6;221;388;67;531;610;49424;1421;593.08
2018/10/7;221;388;67;531;610;48224;1022;578.68
2018/10/8;221;388;67;531;610;42424;977;509.08
2018/10/9;221;388;67;531;610;42413;980;508.96
2018/10/10;221;388;67;531;610;46989;889;563.86
2018/10/11;221;388;67;531;610;47889;987;574.66
2018/10/12;221;388;67;531;610;47385;1015;568.62
2018/10/13;221;388;67;531;610;46378;1260;556.54
2018/10/14;221;388;67;531;610;44375;1246;532.49
2018/9/24;221;388;67;531;611;48371;1236;580.45
